address	street	address:name	street:name	town	administrative-area	postcode	long	lat
10008620969	38600884	HMP YOUNG OFFENDERS INSTITUTE WARREN HILL	GROVE ROAD	HOLLESLEY	SUFFOLK	IP12 3BF	52.0586908	1.460546
10011970324	4000654	H M PRISON	HMP ACCESS ROAD	GRINSTON	NORFOLK	IP25 6RL	52.5537801	0.8594835
72384891	23031200	HM PRISON WEALSTUN	THORP ARCH	WETHERBY	LEEDS	LS23 7AZ	53.916195	-1.3283607
200001581565	37700178	HM YOUNG OFFENDERS INSTITUTE	ASH BANK ROAD	WERRINGTON	STAFFORDSHIRE	ST9 0DX	53.0223852	-2.0874529
72555064	23022108	H M YOUNG OFFENDERS INSTITUTION	YORK ROAD	WETHERBY	LEEDS	LS22 5ED	53.9352653	-1.3678255
3040053432	33022360	HM PRISON WHATTON	NEW LANE	ASLOCKTON	NOTTINGHAMSHIRE	NG13 9FQ	52.9474264	-0.9110517
100091516265	14500935	H M PRISON WHITEMOOR	LONGHILL ROAD	MARCH	CAMBRIDGESHIRE	PE15 0PR	52.5757997	0.0809033
100062015988	44302881	H M PRISON	ROMSEY ROAD	WINCHESTER	HAMPSHIRE	SO22 5DF	51.0634556	-1.3278773
25006001	25803650	HM PRISON	WISEWOOD ROAD	WOODHILL	MILTON KEYNES	MK4 4DA	52.0130981	-0.8077239
34020469	21000285	H M PRISON WORMWOOD SCRUBS	DU CANE ROAD	LONDON	HAMMERSMITH AND FULHAM	W12 0AE	51.5176315	-0.2404155
200004064883	7401395	HM PRISON WYMOTT	MOSS LANE	ULNES WALTON	LANCASHIRE	PR26 8LW	53.6783885	-2.7494089
